problem,num_qubits,density,seed,fraction,gs,fes,gap
maxcut,8,1.0,777,0.3,-9.9405,-8.6351,1.3054
maxcut,8,1.0,777,0.4,-10.6442,-9.5527,1.0915
maxcut,8,1.0,777,0.5,-11.3762,-10.4921,0.8841
maxcut,8,1.0,777,0.6,-12.1393,-11.4564,0.6829
maxcut,8,1.0,777,0.7,-12.9394,-12.4517,0.4877
maxcut,8,1.0,777,0.8,-13.7903,-13.4916,0.2987
maxcut,8,1.0,777,0.9,-14.7361,-14.6195,0.1166
maxcut,8,1.0,777,1.0,-16.0,-15.0,1.0
maxcut,9,0.5,777,0.0,-9.0,-7.0,2.0
maxcut,9,0.5,777,0.1,-8.8602,-7.1881,1.6721
maxcut,9,0.5,777,0.2,-8.7445,-7.3988,1.3457
maxcut,9,0.5,777,0.3,-8.6617,-7.6393,1.0224
maxcut,9,0.5,777,0.4,-8.6265,-7.9216,0.7049
maxcut,9,0.5,777,0.5,-8.6681,-8.2649,0.4032
maxcut,9,0.5,777,0.6,-8.8519,-8.7012,0.1507
maxcut,9,0.5,777,0.7,-9.2995,-9.2784,0.0211
maxcut,9,0.5,777,0.8,-10.0336,-10.033,0.0006
maxcut,9,0.5,777,0.9,-10.9525,-10.7527,0.1998
maxcut,9,0.5,777,1.0,-12.0,-11.0,1.0
maxcut,9,0.6,777,0.0,-9.0,-7.0,2.0
maxcut,9,0.6,777,0.1,-9.1133,-7.4556,1.6577
maxcut,9,0.6,777,0.2,-9.2573,-7.9414,1.3159
maxcut,9,0.6,777,0.3,-9.4421,-8.4667,0.9754
maxcut,9,0.6,777,0.4,-9.6871,-9.046,0.6411
maxcut,9,0.6,777,0.5,-10.0349,-9.7013,0.3336
maxcut,9,0.6,777,0.6,-10.572,-10.4632,0.1088
maxcut,9,0.6,777,0.7,-11.3817,-11.3649,0.0168
maxcut,9,0.6,777,0.8,-12.429,-12.4281,0.0009
maxcut,9,0.6,777,0.9,-13.65,-13.5566,0.0934
maxcut,9,0.6,777,1.0,-15.0,-14.0,1.0
